[107ŒŽ2026 19:29:28.127] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgedatauserdev, --assetIndex, 5, --assetsDir, C:\Users\7kii7\.gradle\caches\forge_gradle\assets, --gameDir, ., --fml.forgeVersion, 47.2.6, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, --mod, reagenica, --all, --output, C:\Users\7kii7\Documents\modlab\reagenica\reagenica\src\generated\resources, --existing, C:\Users\7kii7\Documents\modlab\reagenica\reagenica\src\main\resources]
[107ŒŽ2026 19:29:28.132] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.15 by Microsoft; OS Windows 11 arch amd64 version 10.0
[107ŒŽ2026 19:29:28.214] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgedatauserdev
[107ŒŽ2026 19:29:28.246] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/7kii7/.gradle/caches/modules-2/files-2.1/org.spongepowered/mixin/0.8.5/9d1c0c3a304ae6697ecd477218fa61b850bf57fc/mixin-0.8.5.jar%23128!/ Service=ModLauncher Env=CLIENT
[107ŒŽ2026 19:29:28.538] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\7kii7\.gradle\caches\modules-2\files-2.1\net.minecraftforge\javafmllanguage\1.20.1-47.2.6\56551ed4a181a00930b0365996e1d9f3ca851459\javafmllanguage-1.20.1-47.2.6.jar is missing mods.toml file
[107ŒŽ2026 19:29:28.540] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\7kii7\.gradle\caches\modules-2\files-2.1\net.minecraftforge\lowcodelanguage\1.20.1-47.2.6\f27bd133cd78227e8d6def633b83c881a30cc243\lowcodelanguage-1.20.1-47.2.6.jar is missing mods.toml file
[107ŒŽ2026 19:29:28.541] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\7kii7\.gradle\caches\modules-2\files-2.1\net.minecraftforge\mclanguage\1.20.1-47.2.6\6e1641ac5a046737d7c3209901ca0a829d636873\mclanguage-1.20.1-47.2.6.jar is missing mods.toml file
[107ŒŽ2026 19:29:28.543] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\7kii7\.gradle\caches\modules-2\files-2.1\net.minecraftforge\fmlcore\1.20.1-47.2.6\2d5f5aff839b7d2825c6968049399633d1c4d0b8\fmlcore-1.20.1-47.2.6.jar is missing mods.toml file
[107ŒŽ2026 19:29:28.649] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[107ŒŽ2026 19:29:30.257] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgedatauserdev' with arguments [--gameDir, ., --assetsDir, C:\Users\7kii7\.gradle\caches\forge_gradle\assets, --assetIndex, 5, --mod, reagenica, --all, --output, C:\Users\7kii7\Documents\modlab\reagenica\reagenica\src\generated\resources, --existing, C:\Users\7kii7\Documents\modlab\reagenica\reagenica\src\main\resources]
[107ŒŽ2026 19:29:30.699] [main/INFO] [net.minecraftforge.data.loading.DatagenModLoader/]: Initializing Data Gatherer for mods [reagenica]
[107ŒŽ2026 19:29:34.077] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 47.2.6, for MC 1.20.1 with MCP 20230612.114412
[107ŒŽ2026 19:29:34.078] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v47.2.6 Initialized
[107ŒŽ2026 19:29:34.396] [modloading-worker-0/INFO] [mezz.jei.library.load.PluginCaller/]: Sending ConfigManager...
[107ŒŽ2026 19:29:34.405] [modloading-worker-0/INFO] [mezz.jei.library.load.PluginCaller/]: Sending ConfigManager took 5.052 ms
[107ŒŽ2026 19:29:34.983] [main/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/C:/Users/7kii7/.gradle/caches/forge_gradle/minecraft_user_repo/net/minecraftforge/forge/1.20.1-47.2.6_mapped_official_1.20.1/forge-1.20.1-47.2.6_mapped_official_1.20.1-recomp.jar%23191!/assets/.mcassetsroot' uses unexpected schema
[107ŒŽ2026 19:29:34.984] [main/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/C:/Users/7kii7/.gradle/caches/forge_gradle/minecraft_user_repo/net/minecraftforge/forge/1.20.1-47.2.6_mapped_official_1.20.1/forge-1.20.1-47.2.6_mapped_official_1.20.1-recomp.jar%23191!/data/.mcassetsroot' uses unexpected schema
[107ŒŽ2026 19:29:35.222] [main/INFO] [net.minecraft.data.DataGenerator/]: Starting provider: Loot Tables
[107ŒŽ2026 19:29:35.314] [main/INFO] [net.minecraft.data.DataGenerator/]: Loot Tables finished after 91 ms
[107ŒŽ2026 19:29:35.314] [main/INFO] [net.minecraft.data.DataGenerator/]: Starting provider: Tags for minecraft:block mod id reagenica
[107ŒŽ2026 19:29:35.344] [main/INFO] [net.minecraft.data.DataGenerator/]: Tags for minecraft:block mod id reagenica finished after 29 ms
[107ŒŽ2026 19:29:35.345] [main/INFO] [net.minecraft.data.DataGenerator/]: Starting provider: Tags for minecraft:fluid mod id reagenica
[107ŒŽ2026 19:29:35.347] [main/INFO] [net.minecraft.data.DataGenerator/]: Tags for minecraft:fluid mod id reagenica finished after 2 ms
[107ŒŽ2026 19:29:35.347] [main/INFO] [net.minecraft.data.DataGenerator/]: Starting provider: Item Models: reagenica
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created custom_block blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created bugged_block blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created experiment_block blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created chemical_fermenter blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created filtration_device blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created fractional_distiller_top blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created fractional_distiller_bottom blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created debug_generator blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created debug_consumer blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created copper_cable blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: gold_cable blockItem model was skipped.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: refined_copper_cable blockItem model was skipped.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: hv_cable blockItem model was skipped.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created fuel_generator blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created fluid_fuel_generator blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created heat_generator blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created radioisotope_generator blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created solar_power_generator blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created blast_furnace_bottom blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created blast_furnace_sub blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created heat_furnace blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created crusher blockItem model automatically.
[107ŒŽ2026 19:29:35.383] [main/INFO] [reagenica/]: Created reactor blockItem model automatically.
